method,budget_iter,loss_median,loss_iqr,loss_mean,loss_std,n
D-LBFGS,50,6.181969404220581,"[3.123, 11.11]",6.845921492576599,4.661745962601057,10
GD,50,13.634122371673584,"[9.767, 14.54]",12.732296705245972,4.626681827920198,10
L-BFGS,50,6.272141933441162,"[3.343, 11.53]",7.176515531539917,4.504677685808193,10
PGD (Diag GN precond),50,23.311205863952637,"[9.355, 36.68]",30.204632997512817,27.959216916441587,10
D-LBFGS,100,5.8860182762146,"[3.107, 10.9]",6.709385395050049,4.617477771232529,10
GD,100,10.58755350112915,"[8.461, 13.73]",10.973951864242554,4.158766038791467,10
L-BFGS,100,5.901087999343872,"[3.131, 11]",6.7832887172698975,4.623147140421931,10
PGD (Diag GN precond),100,17.941988468170166,"[7.919, 33.41]",27.95451068878174,28.10167692398145,10
D-LBFGS,200,5.87276029586792,"[3.104, 10.9]",6.701227235794067,4.615284021578481,10
GD,200,9.278910636901855,"[6.821, 13.05]",9.688904619216919,4.026061731519088,10
L-BFGS,200,5.874032258987427,"[3.109, 10.91]",6.709415006637573,4.619156902290554,10
PGD (Diag GN precond),200,16.18636417388916,"[7.215, 30.83]",24.62472538948059,26.540289967884558,10
D-LBFGS,400,5.870319604873657,"[3.104, 10.9]",6.699393248558044,4.616165338481269,10
GD,400,8.478700876235962,"[5.04, 12.6]",8.762590694427491,4.101324581680982,10
L-BFGS,400,5.868695020675659,"[3.105, 10.9]",6.70006582736969,4.616644872121405,10
PGD (Diag GN precond),400,12.889058113098145,"[6.818, 30.06]",23.34420065879822,26.659020865157142,10
