target_loss,method,success_rate,n_success,n_total,iter_to_target_median,iter_to_target_iqr,time_to_target_median,time_to_target_iqr,work_to_target_median,work_to_target_iqr
2.0,D-LBFGS,0.2,2,10,25.5,"[24.25, 26.75]",0.206089973449707,"[0.2047, 0.2075]",245.5,"[244.2, 246.8]"
2.0,GD,0.0,0,10,,,,,,
2.0,L-BFGS,0.2,2,10,54.0,"[47.5, 60.5]",0.12153577804565426,"[0.1098, 0.1333]",126.5,"[112.2, 140.8]"
2.0,PGD (Diag GN precond),0.0,0,10,,,,,,
5.0,D-LBFGS,0.5,5,10,14.0,"[10, 18]",0.1441679000854492,"[0.0922, 0.1445]",163.0,"[99, 169]"
5.0,GD,0.3,3,10,234.0,"[172.5, 282]",2.334946155548096,"[1.72, 3.127]",3189.0,"[2344, 4324]"
5.0,L-BFGS,0.5,5,10,20.0,"[14, 36]",0.0600309371948242,"[0.052, 0.08914]",55.0,"[43, 87]"
5.0,PGD (Diag GN precond),0.1,1,10,50.0,"[50, 50]",1.944089651107788,"[1.944, 1.944]",170.0,"[170, 170]"
10.0,D-LBFGS,0.7,7,10,8.0,"[6.5, 14.5]",0.0798151493072509,"[0.0709, 0.1379]",85.0,"[73, 154.5]"
10.0,GD,0.6,6,10,57.0,"[22.5, 93]",0.5874085426330566,"[0.2459, 1.112]",783.5,"[317.5, 1492]"
10.0,L-BFGS,0.7,7,10,13.0,"[7.5, 16.5]",0.0455501079559326,"[0.03762, 0.05341]",39.0,"[28.5, 46.5]"
10.0,PGD (Diag GN precond),0.4,4,10,17.0,"[10, 84.75]",0.8676313161849976,"[0.6749, 2.976]",124.5,"[78.25, 287.8]"
100.0,D-LBFGS,1.0,10,10,2.0,"[1.25, 3.5]",0.03596603870391845,"[0.0289, 0.05179]",27.0,"[17.75, 46.75]"
100.0,GD,1.0,10,10,2.0,"[1.25, 3.75]",0.04644048213958735,"[0.0378, 0.06249]",42.0,"[31, 64.75]"
100.0,L-BFGS,1.0,10,10,2.0,"[1.25, 2.75]",0.02733147144317625,"[0.02576, 0.02938]",16.5,"[15.25, 18.5]"
100.0,PGD (Diag GN precond),1.0,10,10,1.0,"[0, 1.75]",0.32773053646087646,"[0.3259, 0.3352]",13.5,"[9, 22]"
