target_loss,method,success_rate,n_success,n_total,iter_to_target_median,iter_to_target_iqr,time_to_target_median,time_to_target_iqr,work_to_target_median,work_to_target_iqr
2.0,D-LBFGS,0.2,2,10,377.0,"[374, 380]",2.7748571634292603,"[2.637, 2.913]",3476.0,"[3300, 3652]"
2.0,GD,0.0,0,10,,,,,,
2.0,L-BFGS,0.0,0,10,,,,,,
2.0,PGD (Diag GN precond),0.0,0,10,,,,,,
5.0,D-LBFGS,0.7,7,10,115.0,"[111.5, 130.5]",0.9698519706726074,"[0.8406, 1.054]",1165.0,"[1044, 1334]"
5.0,GD,0.0,0,10,,,,,,
5.0,L-BFGS,0.5,5,10,265.0,"[240, 311]",0.4921801090240478,"[0.4535, 0.5827]",548.0,"[508, 646]"
5.0,PGD (Diag GN precond),0.0,0,10,,,,,,
10.0,D-LBFGS,0.9,9,10,101.0,"[85, 150]",0.8046047687530518,"[0.651, 1.271]",961.0,"[805, 1626]"
10.0,GD,0.0,0,10,,,,,,
10.0,L-BFGS,0.8,8,10,226.5,"[183.2, 321.5]",0.4325690269470215,"[0.3517, 0.6059]",472.0,"[387.5, 665.8]"
10.0,PGD (Diag GN precond),0.2,2,10,361.5,"[355.8, 367.2]",13.965542554855347,"[13.83, 14.1]",3696.0,"[3679, 3713]"
100.0,D-LBFGS,1.0,10,10,39.5,"[32, 52.25]",0.3402090072631836,"[0.2833, 0.4501]",404.0,"[354.5, 523.5]"
100.0,GD,0.6,6,10,276.5,"[247, 342]",2.6241384744644165,"[2.331, 3.168]",3508.5,"[3116, 4366]"
100.0,L-BFGS,1.0,10,10,69.5,"[58.25, 77.75]",0.1543389558792114,"[0.1322, 0.17]",155.0,"[131.8, 172.5]"
100.0,PGD (Diag GN precond),0.8,8,10,24.0,"[20, 28.25]",1.1214169263839722,"[1.002, 1.144]",236.0,"[211, 294.5]"
